ID,DATE,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,ELEVATION,PRCP
US1COJF00012013-03-15 00:00:00,2013-03-15,2013,3,15,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-16 00:00:00,2013-03-16,2013,3,16,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-18 00:00:00,2013-03-18,2013,3,18,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-19 00:00:00,2013-03-19,2013,3,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-20 00:00:00,2013-03-20,2013,3,20,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-21 00:00:00,2013-03-21,2013,3,21,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-22 00:00:00,2013-03-22,2013,3,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-23 00:00:00,2013-03-23,2013,3,23,39.5884,-105.075,1692.9,7.7
US1COJF00012013-03-24 00:00:00,2013-03-24,2013,3,24,39.5884,-105.075,1692.9,3.2
US1COJF00012013-03-25 00:00:00,2013-03-25,2013,3,25,39.5884,-105.075,1692.9,0.2
US1COJF00012013-03-26 00:00:00,2013-03-26,2013,3,26,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-27 00:00:00,2013-03-27,2013,3,27,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-28 00:00:00,2013-03-28,2013,3,28,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-29 00:00:00,2013-03-29,2013,3,29,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-30 00:00:00,2013-03-30,2013,3,30,39.5884,-105.075,1692.9,0.0
US1COJF00012013-03-31 00:00:00,2013-03-31,2013,3,31,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-01 00:00:00,2013-04-01,2013,4,1,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-04 00:00:00,2013-04-04,2013,4,4,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-05 00:00:00,2013-04-05,2013,4,5,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-06 00:00:00,2013-04-06,2013,4,6,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-07 00:00:00,2013-04-07,2013,4,7,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-08 00:00:00,2013-04-08,2013,4,8,39.5884,-105.075,1692.9,0.0
US1COJF00012013-04-09 00:00:00,2013-04-09,2013,4,9,39.5884,-105.075,1692.9,4.7
US1COJF00012013-04-10 00:00:00,2013-04-10,2013,4,10,39.5884,-105.075,1692.9,3.7
